SubID,Timepoint,ID,ProlificID,Age,Gender,SEL,Country,State,Emp,Edu,SRA1,SRA2,SRA3,SRA4,SRA5,SRA6,SRA7,SRA8,SRA9,SRA10,SRA11,SRA12,SRA13,SRA14,SRA15,SRA16,SRA17,SRA18,SRA19,SRA20,VAR029,PSI1,PSI2,PSI3,PSI4,relative,friend,acquaint,stranger,ingroup,outgroup,VAR033,ownn,othern,political,identify,help,VAR039,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,PS10,VAR050,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,VAR072,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,VAR083,socialm,personalcom,mainnews,indnews,personalexp,VAR089,alc1,alc2,alc3,control,VAR094
287,2,139,5d288c5cc3c61e001781c77d,19,2,2,2,AK,3,1,1,3,2,3,1,3,4,1,3,3,3,1,3,1,1,4,2,3,3,2,,7,5,4,7,NA,NA,NA,NA,NA,NA,,3,3,2,2,3,,4,4,3,1,1,1,4,0,3,4,,3,2,1,1,3,0,0,1,1,3,1,2,0,2,0,1,0,0,0,0,0,,2,1,5,7,5,3,3,3,5,6,,4,3,5,1,1,,4,5,3,4,
384,3,85,5c802d06948f9c00017b3eb2,35,1,4,2,AK,2,2,3,3,3,4,2,4,2,2,3,5,4,1,2,2,1,3,3,3,3,3,,7,5,6,5,3,3,1,1,2,1,N/A,1,3,1,1,1,N/A,3,4,3,3,1,3,2,2,2,2,"I have Lyme Disease, so things have been difficult for a long time for me.",1,0,1,0,1,2,1,0,0,1,2,1,1,1,0,1,0,1,0,0,0,N/A,4,7,1,4,4,5,6,6,5,7,,1,4,3,1,3,A friend of mine does much of the COVID19 lab testing for the state of Alaska.,3,2,1,4,"Alcohol exacerbates my Lyme Disease symptoms, so I seldom partake. "
87,1,196,58af423e6590840001566cc7,32,1,3,2,AL,1,1,2,4,1,3,3,1,1,2,1,5,3,1,3,3,1,3,1,1,1,5,,7,7,7,7,NA,NA,NA,NA,NA,NA,,3,4,1,3,3,,1,2,1,3,2,1,3,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,3,4,4,2,2,2,2,4,3,,5,5,5,3,1,,4,3,3,4,
198,2,48,5e72665f88152e1aecef02ff,20,2,4,2,AL,3,1,1,3,1,3,1,3,1,1,2,4,3,1,1,2,1,3,1,1,1,2,,5,3,6,5,NA,NA,NA,NA,NA,NA,,2,3,1,3,1,,3,4,4,2,1,3,2,1,2,2,,1,0,1,0,2,0,0,1,0,2,0,2,1,0,0,1,0,0,0,0,0,,3,6,6,3,7,7,7,6,7,6,,4,2,5,3,1,,1,1,1,4,
240,2,90,5cbdc86714b3cb0001f035bb,38,2,2,2,AL,1,1,1,3,2,2,2,3,2,1,2,3,3,2,1,1,1,1,1,3,1,3,,7,7,7,7,NA,NA,NA,NA,NA,NA,,3,3,3,3,3,,2,2,2,2,2,2,2,1,2,2,,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,,4,4,4,5,4,4,4,4,4,4,,3,3,1,1,1,,1,1,1,4,
333,3,34,5dab9bb23dd8f50015d256d5,46,2,1,2,AL,2,1,1,5,5,3,3,5,3,3,5,5,5,2,5,5,1,5,5,1,5,5,,7,7,7,7,4,4,4,4,4,4,,3,3,3,3,3,,4,4,4,1,1,2,1,1,4,4,,3,3,1,0,3,3,1,1,0,1,2,2,2,3,1,1,2,3,1,1,2,,4,6,7,7,4,4,4,4,4,4,,3,3,4,4,2,,2,2,1,4,
396,3,97,5dd45a1b16d10c44eda43509,29,2,3,2,AL,1,3,1,3,2,3,3,4,2,1,1,3,3,1,1,1,3,2,2,1,1,2,,6,6,6,6,2,1,1,1,1,1,"Right now we're in a Stay-at-Home order, so we cannot go out of the house and do these things.",3,3,1,1,1,,3,3,4,2,1,2,2,2,3,2,,3,1,2,0,2,2,0,2,0,1,3,3,3,0,3,2,0,0,0,0,0,,4,3,1,4,4,4,4,4,4,4,,5,5,5,5,4,,1,1,1,4,
465,4,16,5e8cc2242561a4073c1e005e,21,2,4,2,AL,3,1,1,3,3,3,4,4,4,2,3,3,3,1,2,3,1,4,2,3,3,3,"Q17 the phrasing of ""before being asked"" was confusing to me",7,4,7,7,2,3,1,3,2,2,,2,3,2,3,3,My feelings about a nation depend on their treatment of people so it is hard to make a general statement.,3,3,2,3,2,1,4,2,1,1,,1,1,0,0,2,1,0,1,0,1,1,1,1,0,0,1,1,1,2,0,1,,1,2,1,2,3,2,3,5,4,4,,2,4,4,4,1,,3,4,4,4,
546,4,97,5e65e1f98ebdaf35914d8d3a,21,1,4,2,AL,3,1,2,3,2,1,3,2,3,3,3,4,4,1,3,3,1,4,3,2,4,3,,4,7,5,7,3,2,2,1,2,1,,4,2,5,1,2,,2,1,2,3,2,0,3,1,2,1,,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,,3,4,3,4,3,3,4,5,2,5,,3,4,4,1,1,,4,4,4,4,
451,4,1,5c284cf 20091e40001ca3962,51,2,3,2,AR,1,2,1,3,3,3,3,5,3,1,3,3,3,2,3,2,2,3,3,3,2,3,,5,6,6,6,1,1,2,3,1,1,,5,3,5,2,2,,2,2,2,2,2,3,1,1,3,3,,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,,5,5,4,5,6,6,5,5,5,4,,4,3,3,4,2,,2,2,1,4,
